Weekly Returns -- TLT
Window: 520 weeks  |  Price: Close
----------------------------------
Week Start              tlt_return
----------------------------------
2016-02-22                  -0.46%
2016-02-29                  -1.39%
2016-03-07                  -0.96%
2016-03-14                  +1.33%
2016-03-21                  +0.37%
2016-03-28                  +0.88%
2016-04-04                  +1.02%
2016-04-11                  -0.10%
2016-04-18                  -2.67%
2016-04-25                  +0.79%
2016-05-02                  +0.83%
2016-05-09                  +1.40%
2016-05-16                  -1.61%
2016-05-23                  -0.23%
2016-05-30                  +2.60%
2016-06-06                  +1.16%
2016-06-13                  +0.62%
2016-06-20                  +0.13%
2016-06-27                  +3.53%
2016-07-04                  +2.16%
2016-07-11                  -3.63%
2016-07-18                  +0.30%
2016-07-25                  +1.99%
2016-08-01                  -2.51%
2016-08-08                  +1.51%
2016-08-15                  -0.98%
2016-08-22                  -0.25%
2016-08-29                  +0.20%
2016-09-05                  -2.24%
2016-09-12                  -0.57%
2016-09-19                  +1.54%
2016-09-26                  +0.50%
2016-10-03                  -2.61%
2016-10-10                  -1.74%
2016-10-17                  +1.31%
2016-10-24                  -2.15%
2016-10-31                  +0.99%
2016-11-07                  -7.36%
2016-11-14                  -0.98%
2016-11-21                  -0.02%
2016-11-28                  -1.01%
2016-12-05                  -1.76%
2016-12-12                  -0.31%
2016-12-19                  +0.78%
2016-12-26                  +0.91%
2017-01-02                  +1.45%
2017-01-09                  +0.37%
2017-01-16                  -1.13%
2017-01-23                  -0.26%
2017-01-30                  -0.53%
2017-02-06                  +1.48%
2017-02-13                  -0.36%
2017-02-20                  +1.40%
2017-02-27                  -2.18%
2017-03-06                  -1.76%
2017-03-13                  +1.19%
2017-03-20                  +1.89%
2017-03-27                  -0.14%
2017-04-03                  +0.00%
2017-04-10                  +2.29%
2017-04-17                  +0.06%
2017-04-24                  -0.96%
2017-05-01                  -0.87%
2017-05-08                  +0.08%
2017-05-15                  +1.91%
2017-05-22                  -0.19%
2017-05-29                  +1.73%
2017-06-05                  -0.97%
2017-06-12                  +1.57%
2017-06-19                  +1.13%
2017-06-26                  -2.08%
2017-07-03                  -1.92%
2017-07-10                  +0.50%
2017-07-17                  +1.91%
2017-07-24                  -1.43%
2017-07-31                  +0.84%
2017-08-07                  +1.20%
2017-08-14                  +0.15%
2017-08-21                  +0.55%
2017-08-28                  -0.45%
2017-09-04                  +1.78%
2017-09-11                  -1.66%
2017-09-18                  -0.52%
2017-09-25                  -1.14%
2017-10-02                  -0.94%
2017-10-09                  +1.83%
2017-10-16                  -1.49%
2017-10-23                  -0.60%
2017-10-30                  +1.95%
2017-11-06                  -1.23%
2017-11-13                  +1.85%
2017-11-20                  +0.32%
2017-11-27                  -0.20%
2017-12-04                  +0.11%
2017-12-11                  +1.31%
2017-12-18                  -2.79%
2017-12-25                  +1.68%
2018-01-01                  -0.91%
2018-01-08                  -0.95%
2018-01-15                  -1.17%
2018-01-22                  +0.43%
2018-01-29                  -3.24%
2018-02-05                  -1.37%
2018-02-12                  +0.65%
2018-02-19                  -0.49%
2018-02-26                  +0.19%
2018-03-05                  -0.37%
2018-03-12                  +1.61%
2018-03-19                  +0.30%
2018-03-26                  +1.44%
2018-04-02                  -0.66%
2018-04-09                  -0.17%
2018-04-16                  -2.02%
2018-04-23                  +0.36%
2018-04-30                  +0.08%
2018-05-07                  +0.20%
2018-05-14                  -1.69%
2018-05-21                  +2.06%
2018-05-28                  +0.57%
2018-06-04                  -0.64%
2018-06-11                  +0.71%
2018-06-18                  +0.12%
2018-06-25                  +0.99%
2018-07-02                  +0.85%
2018-07-09                  -0.02%
2018-07-16                  -1.60%
2018-07-23                  -1.08%
2018-07-30                  -0.20%
2018-08-06                  +1.21%
2018-08-13                  +0.27%
2018-08-20                  +1.08%
2018-08-27                  -1.05%
2018-09-03                  -1.55%
2018-09-10                  -0.49%
2018-09-17                  -1.22%
2018-09-24                  +0.15%
2018-10-01                  -3.61%
2018-10-08                  +1.27%
2018-10-15                  -0.66%
2018-10-22                  +1.13%
2018-10-29                  -2.60%
2018-11-05                  +1.21%
2018-11-12                  +1.19%
2018-11-19                  +0.38%
2018-11-26                  +0.17%
2018-12-03                  +2.67%
2018-12-10                  +0.06%
2018-12-17                  +1.89%
2018-12-24                  +0.27%
2018-12-31                  +0.88%
2019-01-07                  -0.97%
2019-01-14                  -1.13%
2019-01-21                  +0.81%
2019-01-28                  +0.36%
2019-02-04                  +1.15%
2019-02-11                  -0.30%
2019-02-18                  -0.34%
2019-02-25                  -2.39%
2019-03-04                  +2.45%
2019-03-11                  +0.15%
2019-03-18                  +2.55%
2019-03-25                  +1.27%
2019-04-01                  -1.91%
2019-04-08                  -1.10%
2019-04-15                  +0.19%
2019-04-22                  +0.74%
2019-04-29                  -0.12%
2019-05-06                  +0.88%
2019-05-13                  +0.99%
2019-05-20                  +1.42%
2019-05-27                  +3.17%
2019-06-03                  -0.07%
2019-06-10                  -0.21%
2019-06-17                  -0.02%
2019-06-24                  +1.05%
2019-07-01                  -0.29%
2019-07-08                  -1.67%
2019-07-15                  +1.13%
2019-07-22                  -0.17%
2019-07-29                  +3.83%
2019-08-05                  +2.59%
2019-08-12                  +4.34%
2019-08-19                  -0.12%
2019-08-26                  +0.90%
2019-09-02                  -1.01%
2019-09-09                  -6.34%
2019-09-16                  +3.92%
2019-09-23                  +0.59%
2019-09-30                  +2.28%
2019-10-07                  -3.80%
2019-10-14                  -0.61%
2019-10-21                  -0.76%
2019-10-28                  +1.47%
2019-11-04                  -4.02%
2019-11-11                  +2.11%
2019-11-18                  +1.55%
2019-11-25                  +0.37%
2019-12-02                  -1.47%
2019-12-09                  +0.50%
2019-12-16                  -1.72%
2019-12-23                  +0.49%
2019-12-30                  +1.31%
2020-01-06                  -0.49%
2020-01-13                  -0.30%
2020-01-20                  +2.94%
2020-01-27                  +2.69%
2020-02-03                  -1.01%
2020-02-10                  +0.08%
2020-02-17                  +2.41%
2020-02-24                  +4.91%
2020-03-02                  +7.38%
2020-03-09                  -7.69%
2020-03-16                  +3.57%
2020-03-23                  +5.19%
2020-03-30                  +0.48%
2020-04-06                  -1.85%
2020-04-13                  +1.46%
2020-04-20                  +1.81%
2020-04-27                  -1.69%
2020-05-04                  -2.36%
2020-05-11                  +1.66%
2020-05-18                  -0.70%
2020-05-25                  -1.18%
2020-06-01                  -4.57%
2020-06-08                  +3.97%
2020-06-15                  +0.06%
2020-06-22                  +1.76%
2020-06-29                  -1.00%
2020-07-06                  +1.67%
2020-07-13                  +0.27%
2020-07-20                  +1.77%
2020-07-27                  +0.74%
2020-08-03                  -0.65%
2020-08-10                  -3.94%
2020-08-17                  +1.85%
2020-08-24                  -3.06%
2020-08-31                  +1.01%
